name,alcohol,character,class
Alphonse Mellot 'Les Demoiselles' Organic Sancerre 2018/19,14.0,1,Sancerre
Baron Edmond de Rothschild 'Rimapere' Sauvignon Blanc 2020,12.5,1,Sauvignon Blanc
Luis Felipe Edwards Gran Reserva Sauvignon Blanc 2020,13.5,1,Sauvignon Blanc
Winzer Krems 'Orange' Gruner Veltliner 2019/20,13.0,1,
Domaine Skouras Assyrtiko 2019/20,13.5,none,
Gabriëlskloof 'Elodie' Chenin Blanc 2019/20,13.5,2,
Ropiteau Frères Chassagne-Montrachet 2018/19,14.0,none,
Famille Brocard Chablis Grand Cru 2013,13.0,none,
Domaine Joly Puligny-Montrachet 2019/20,13.0,none,
Gonzalez Byass Solera Cream Sherry,18.0,6,
Castello di Farnetella Vin Santo 2015,15.0,7,Vin Santo
Majestic Vibrant and Fresh 2020,12.5,2,
Mud House ‘The Woolshed’ Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc
Saint Clair 'Pioneer Block' Grüner Veltliner 2020,13.0,1,
Famille Hugel ‘Classic’ Riesling 2019,13.0,1,Riesling
Castello Toledana Gavi di Gavi 2019,13.5,2,Gavi
Journey’s End ‘Lone Creek’ Sauvignon Blanc 2021,12.5,3,Sauvignon Blanc
Chapel Down Bacchus 2020,12.5,1,
Taittinger Brut Réserve Champagne,12.5,1,
Rocklin Ranch Chardonnay 2019/20,13.5,1,Chardonnay
Maison Chanzy 'En Rosey' Rully Blanc 2020,13.0,1,
Definition Pouilly-Fumé 2019/20,13.5,1,
Cave de Viré Viré-Clessé,13.5,1,
Henri Boillot 'Clos de la Mouchère’ Puligny-Montrachet Premier Cru 2019,14.5,1,
Côtes du Rhône Villages Blanc 2016 Laudun,14.0,1,
Clos St-Jacques Riesling 2019,12.0,1,Riesling
Cortese 2019 Araldica,12.0,1,
Oltre Passo Falanghina,12.5,1,
